,Address,Latitude,Longitude,Price,Webpage
0, 126-34909 Old Yale Road  Abbotsford East Abbotsford  ,49.0081029,-122.1591938,"$365,900",https://www.rew.ca/properties/2530836/126-34909-old-yale-road-abbotsford-bc
1, 315-3192 Gladwin Road  Central Abbotsford Abbotsford  ,49.0596631,-122.31562626178825,"$409,900",https://www.rew.ca/properties/2567908/315-3192-gladwin-road-abbotsford-bc
2, 31-27735 Roundhouse Drive  Aberdeen Abbotsford  ,49.0560625,-122.4576762,"$549,900",https://www.rew.ca/properties/2592631/31-27735-roundhouse-drive-abbotsford-bc
3, 21-32925 George Ferguson Way  Central Abbotsford Abbotsford  ,49.0550265,-122.3284994,"$399,999",https://www.rew.ca/properties/2592204/21-32925-george-ferguson-way-abbotsford-bc
4, 2316 Southdale Crescent  Abbotsford West Abbotsford  ,49.0443632,-122.3475808,"$725,000",https://www.rew.ca/properties/2591570/2316-southdale-crescent-abbotsford-bc
5, 12-3292 Vernon Terrace  Abbotsford East Abbotsford  ,49.0618097,-122.2586724,"$416,800",https://www.rew.ca/properties/2591708/12-3292-vernon-terrace-abbotsford-bc
6, 35348 Wells Gray Avenue  Abbotsford East Abbotsford  ,49.0603943,-122.2461973,"$619,700",https://www.rew.ca/properties/2591576/35348-wells-gray-avenue-abbotsford-bc
7, 102-32070 Peardonville Road  Abbotsford West Abbotsford  ,49.045379600000004,-122.33506204187006,"$224,900",https://www.rew.ca/properties/2591274/102-32070-peardonville-road-abbotsford-bc
8, 108-2515 Park Drive  Central Abbotsford Abbotsford  ,49.0475763,-122.2809777,"$342,900",https://www.rew.ca/properties/2590784/108-2515-park-drive-abbotsford-bc
9, 4-32955 Mill Lake Road  Central Abbotsford Abbotsford  ,49.0473687,-122.3111573,"$874,700",https://www.rew.ca/properties/2590838/4-32955-mill-lake-road-abbotsford-bc
10, 3-32955 Mill Lake Road  Central Abbotsford Abbotsford  ,49.0473687,-122.3111573,"$774,700",https://www.rew.ca/properties/2590839/3-32955-mill-lake-road-abbotsford-bc
11, 20-4295 Old Clayburn Road  Abbotsford East Abbotsford  ,49.0601145,-122.2642636,"$689,900",https://www.rew.ca/properties/2590034/20-4295-old-clayburn-road-abbotsford-bc
12, 5291 Mt Lehman Road  Bradner Abbotsford  ,,,"$7,500,000",https://www.rew.ca/properties/2590788/5291-mt-lehman-road-abbotsford-bc
13, 116-2955 Diamond Crescent  Abbotsford West Abbotsford  ,49.05621515,-122.32861840924816,"$359,000",https://www.rew.ca/properties/2590432/116-2955-diamond-crescent-abbotsford-bc
14, 32588 Peardonville Road  Central Abbotsford Abbotsford  ,49.0468049,-122.352562,"$624,900",https://www.rew.ca/properties/2590309/32588-peardonville-road-abbotsford-bc
15, 510-2485 Montrose Avenue  Central Abbotsford Abbotsford  ,49.047159300000004,-122.29082262726288,"$469,700",https://www.rew.ca/properties/2590031/510-2485-montrose-avenue-abbotsford-bc
16, 32584 Peardonville Road  Central Abbotsford Abbotsford  ,49.0451618,-122.321371,"$624,900",https://www.rew.ca/properties/2589120/32584-peardonville-road-abbotsford-bc
17, 3440 Creston Drive  Abbotsford West Abbotsford  ,49.0644727,-122.3369786,"$849,800",https://www.rew.ca/properties/2588489/3440-creston-drive-abbotsford-bc
18, 31310 Fibish Place  Abbotsford West Abbotsford  ,49.0545014,-122.3545531,"$849,700",https://www.rew.ca/properties/2587975/31310-fibish-place-abbotsford-bc
19, 414-2485 Montrose Avenue  Central Abbotsford Abbotsford  ,49.047159300000004,-122.29082262726288,"$469,900",https://www.rew.ca/properties/2587366/414-2485-montrose-avenue-abbotsford-bc
20, 102-2435 Center Street  Abbotsford West Abbotsford  ,49.0467584,-122.3425767,"$337,500",https://www.rew.ca/properties/2587116/102-2435-center-street-abbotsford-bc
21, 34858 Laburnum Avenue  Abbotsford East Abbotsford  ,,,"$608,000",https://www.rew.ca/properties/2586420/34858-laburnum-avenue-abbotsford-bc
22, 101-3190 Gladwin Road  Central Abbotsford Abbotsford  ,49.05944385,-122.31425494651899,"$384,800",https://www.rew.ca/properties/2564698/101-3190-gladwin-road-abbotsford-bc
23, 20-32925 Maclure Road  Central Abbotsford Abbotsford  ,49.0600722,-122.335067,"$500,000",https://www.rew.ca/properties/2589260/20-32925-maclure-road-abbotsford-bc
24, 33331 Lynn Avenue  Central Abbotsford Abbotsford  ,49.0363991,-122.3008707,"$819,995",https://www.rew.ca/properties/2585972/33331-lynn-avenue-abbotsford-bc
25, 3045 Princess Street  Abbotsford West Abbotsford  ,49.0578144,-122.3439087,"$699,900",https://www.rew.ca/properties/2585876/3045-princess-street-abbotsford-bc
26, 412-2649 James Street  Abbotsford West Abbotsford  ,49.0511434,-122.3294802,"$459,000",https://www.rew.ca/properties/2585443/412-2649-james-street-abbotsford-bc
27, 35921 Eaglecrest Place  Abbotsford East Abbotsford  ,49.0450397,-122.2290073,"$885,000",https://www.rew.ca/properties/2583857/35921-eaglecrest-place-abbotsford-bc
28, 16-3055 Trafalgar Street  Central Abbotsford Abbotsford  ,49.0544173,-122.3090588,"$457,900",https://www.rew.ca/properties/2581798/16-3055-trafalgar-street-abbotsford-bc
29, 37-2830 W Bourquin Crescent  Central Abbotsford Abbotsford  ,,,"$419,900",https://www.rew.ca/properties/2583645/37-2830-w-bourquin-crescent-abbotsford-bc
30, 114-2515 Park Drive  Central Abbotsford Abbotsford  ,49.0475763,-122.2809777,"$258,800",https://www.rew.ca/properties/2583615/114-2515-park-drive-abbotsford-bc
31, 82-1973 Winfield Drive  Abbotsford East Abbotsford  ,49.0404023,-122.2277738,"$489,900",https://www.rew.ca/properties/2582661/82-1973-winfield-drive-abbotsford-bc
32, 34736 4 Avenue  Poplar Abbotsford  ,,,"$549,000",https://www.rew.ca/properties/2581372/34736-4-avenue-abbotsford-bc
33, 2448 Sunrise Park Drive  Abbotsford East Abbotsford  ,49.0474697,-122.2219407,"$995,000",https://www.rew.ca/properties/2580104/2448-sunrise-park-drive-abbotsford-bc
34, 103-1750 Mckenzie Road  Central Abbotsford Abbotsford  ,49.0296497,-122.2819999,"$269,785",https://www.rew.ca/properties/2578757/103-1750-mckenzie-road-abbotsford-bc
35, 80-3290 Gladwin Road  Central Abbotsford Abbotsford  ,49.0502954,-122.3152207,"$898,000",https://www.rew.ca/properties/2578201/80-3290-gladwin-road-abbotsford-bc
36, 211-3090 Gladwin Road  Central Abbotsford Abbotsford  ,49.0581244,-122.31510602273046,"$319,900",https://www.rew.ca/properties/2577105/211-3090-gladwin-road-abbotsford-bc
37, 3983 Paradise Place  Abbotsford East Abbotsford  ,49.0734121,-122.2531525,"$1,089,999",https://www.rew.ca/properties/2575032/3983-paradise-place-abbotsford-bc
38, 34938 Clayburn Road  Abbotsford East Abbotsford  ,49.0818533,-122.2834549,"$499,000",https://www.rew.ca/properties/2575024/34938-clayburn-road-abbotsford-bc
39, 34930 Clayburn Road  Abbotsford East Abbotsford  ,49.0818533,-122.2834549,"$599,000",https://www.rew.ca/properties/2574828/34930-clayburn-road-abbotsford-bc
40, 27615 Porter Drive  Aberdeen Abbotsford  ,49.0592437,-122.4566045,"$899,900",https://www.rew.ca/properties/2574514/27615-porter-drive-abbotsford-bc
41, 206-33668 King Road  Poplar Abbotsford  ,49.0308236,-122.3266547,"$299,900",https://www.rew.ca/properties/2574106/206-33668-king-road-abbotsford-bc
42, 405-2485 Montrose Avenue  Central Abbotsford Abbotsford  ,49.047159300000004,-122.29082262726288,"$344,900",https://www.rew.ca/properties/2574078/405-2485-montrose-avenue-abbotsford-bc
43, 2683 Locarno Court  Abbotsford East Abbotsford  ,49.0500738,-122.2502385,"$2,098,000",https://www.rew.ca/properties/2574053/2683-locarno-court-abbotsford-bc
44, 101-3190 Gladwin Road  Central Abbotsford Abbotsford  ,49.05944385,-122.31425494651899,"$384,800",https://www.rew.ca/properties/2564698/101-3190-gladwin-road-abbotsford-bc
45, 901-33065 Mill Lake Road  Central Abbotsford Abbotsford  ,49.0487188,-122.3075478,"$549,900",https://www.rew.ca/properties/2564747/901-33065-mill-lake-road-abbotsford-bc
46, 34639 Currie Place  Abbotsford East Abbotsford  ,49.0506661,-122.2637179,"$750,000",https://www.rew.ca/properties/2573936/34639-currie-place-abbotsford-bc
47, 34910 Mcleod Avenue  Abbotsford East Abbotsford  ,49.0537425,-122.2604359,"$763,500",https://www.rew.ca/properties/2573386/34910-mcleod-avenue-abbotsford-bc
48, 203-3172 Gladwin Road  Central Abbotsford Abbotsford  ,49.05885055,-122.31326511914494,"$337,900",https://www.rew.ca/properties/2571696/203-3172-gladwin-road-abbotsford-bc
