,Address,Bath,Bed,Price,Property Type,sf
0,12-2048 Mccallum Road,2,2,"$335,000",Townhouse,990
1,112-1755 Salton Road,2,2,"$349,900",Apt/Condo,1223
2,39800 Old Yale Road,0,0,"$750,000",Land/Lot,0
3,32282 Marshall Road,2,5,"$714,900",House,2100
4,31914 Hopedale Avenue,2,4,"$749,000",House,2400
5,122-2451 Gladwin Road,2,2,"$328,500",Apt/Condo,1236
6,213-2350 Westerly Street,2,2,"$354,900",Apt/Condo,895
7,308-1975 Mccallum Road,2,2,"$389,000",Apt/Condo,875
8,35521 Sheena Place,3,5,"$950,000",House,3053
9,48-30989 Westridge Place,2,2,"$529,900",Townhouse,1172
10,405-1909 Salton Road,1,2,"$259,900",Apt/Condo,903
11,312-32870 George Ferguson Way,1,2,"$259,900",Apt/Condo,951
12,504-3080 Gladwin Road,2,2,"$450,000",Apt/Condo,806
13,4-2962 Nelson Place,1,2,"$274,000",Townhouse,1030
14,61-31032 Westridge Place,2,2,"$478,888",Townhouse,1232
15,2823 Westside Place,4,4,"$819,000",House,2528
16,4469 Farina Road,4,5,"$990,000",House,3827
17,34409 Laburnum Avenue,3,5,"$749,000",House,3040
18,503-31955 Old Yale Road,1,2,"$299,700",Apt/Condo,1131
19,111-33546 Holland Avenue,2,2,"$389,700",Apt/Condo,933
20,116-2414 Church Street,1,1,"$248,500",Apt/Condo,743
21,35465 Nakiska Court,3,5,"$929,800",House,2670
22,68-31032 Westridge Place,2,2,"$509,900",Townhouse,1224
23,7-32138 George Ferguson Way,3,2,"$504,700",Townhouse,1208
24,2425 Mountain Drive,3,3,"$749,500",House,2017
25,33969 Victory Boulevard,1,4,"$755,000",House,1592
26,1773 Fairview Street,2,4,"$818,500",House,2268
27,57-36060 Old Yale Road,3,3,"$544,900",Townhouse,1430
28,33921 Elm Street,2,5,"$838,000",House,2627
29,2728 Clearbrook Road,1,5,"$558,800",House,1418
30,32019 Noble Avenue,1,3,"$598,800",House,2164
31,3-33922 King Road,3,3,"$574,700",Townhouse,2454
32,213-30525 Cardinal Avenue,2,2,"$349,000",Apt/Condo,874
33,307-33898 Pine Street,2,2,"$374,900",Apt/Condo,904
34,25-32250 Downes Road,2,3,"$829,500",House,1655
35,2444 Lilac Crescent,4,8,"$1,299,980",Duplex,4696
