Reporting_Area,MMWR_Year,MMWR_Week,All_Causes_by_Age_Years_All_Ages,All_Causes_by_Age_Years_All_Ages_Flag,All_Causes_by_Age_Years_65,All_Causes_by_Age_Years_65_Flag,All_Causes_by_Age_Years_45_64,All_Causes_by_Age_Years_45_64_Flag,All_Causes_by_Age_Years_25_44,All_Causes_by_Age_Years_25_44_Flag,All_Causes_by_Age_Years_1_24,All_Causes_by_Age_Years_1_24_Flag,All_Causes_by_Age_Years_LT_1,All_Causes_by_Age_Years_LT_1_Flag,P_I_Total,P_I_Total_Flag,Latitude,Longitude
New England,2015,1,695,,495,,150,,33,,11,,6,,68,,,
Mid. Atlantic,2015,1,1920,,1383,,385,,107,,24,,21,,164,,,
E.N. Central,2015,1,2952,,2074,,632,,155,,45,,46,,307,,,
W.N. Central,2015,1,850,,555,,204,,53,,18,,18,,81,,,
S. Atlantic,2015,1,1416,,933,,342,,85,,29,,27,,124,,,
E.S. Central,2015,1,1292,,874,,305,,72,,18,,23,,102,,,
W.S. Central,2015,1,2078,,1368,,513,,130,,37,,30,,139,,,
Mountain,2015,1,1710,,1197,,358,,100,,31,,22,,127,,,
Pacific,2015,1,2348,,1690,,472,,123,,41,,22,,189,,,
Total¶,2015,1,15261,,10569,,3361,,858,,254,,215,,1301,,,
"New York City, NY",2015,1,1084,,779,,222,,63,,13,,7,,49,,40.71455047,-74.00711668
"Tacoma, WA",2015,1,155,,104,,34,,14,,3,,,-,17,,47.25512978,-122.4416358
"Spokane, WA",2015,1,72,,51,,16,,3,,,-,2,,5,,47.65725626,-117.4122762
"Erie, PA",2015,1,92,,77,,11,,2,,2,,,-,13,,42.12944422,-80.08523631
"Elizabeth, NJ",2015,1,16,,11,,4,,,-,1,,,-,1,,40.66381119,-74.21143866
"Syracuse, NY",2015,1,,U,,U,,U,,U,,U,,U,,U,43.04999341,-76.147387
"Peoria, IL",2015,1,81,,64,,12,,3,,,-,2,,12,,40.69214392,-89.58775733
"South Bend, IN",2015,1,95,,73,,14,,5,,2,,1,,11,,41.67905029,-86.25403579
"Milwaukee, WI",2015,1,169,,115,,45,,7,,1,,1,,22,,43.04181324,-87.90683912
"San Diego, CA",2015,1,236,,177,,36,,17,,4,,2,,16,,32.71569139,-117.1617185
